operation,tier,slo_target,slo_shards,pre_p0_value,post_p0_value,value_unit,improvement_factor,status,pre_p0_source,post_p0_source,notes,recorded_at
mdcp compile (full repo),1,< 2 s,200,4900,133,ms,36.8,met,github-issue-64,scripts/bench-dogfood-performance.mjs (2026-06-19),CLI wall clock; dogfood docs/,2026-06-19
"mdcp check (core, no peers)",2,< 5 s,200,4000,187,ms,21.4,met,github-issue-64,scripts/bench-dogfood-performance.mjs (2026-06-19),Bench config: links + xrefs only (no markdownlint/Vale),2026-06-19
mdcp check (+ peers),3,< 30 s,200,6600,1223,ms,5.4,met,github-issue-64,scripts/bench-dogfood-performance.mjs (2026-06-19),CLI wall clock with --require-lint --require-vale,2026-06-19
compileGuideResults (core),,,,700,60,ms,11.7,,github-issue-64,scripts/bench-dogfood-performance.mjs (2026-06-19),In-process single compileGuideResults call,2026-06-19
built-in link lint,,,,3000,18,ms,166.7,,github-issue-64,scripts/bench-dogfood-performance.mjs (2026-06-19),In-process lintLinks on compile results,2026-06-19
link lint ms per link,4,trend down,,8,0.05,ms/link,160,met,github-issue-64,scripts/bench-dogfood-performance.mjs (2026-06-19),post_p0 = lint_ms / 357 compiled links,2026-06-19
compile invocations per check,4,1,,3,1,count,3,met,github-issue-64,packages/mdcp-cli/test/compile-workspace.test.ts,Verified by unit test spy on compileGuideResultsWithContext,2026-06-19
file reads per shard (compile),4,1,,5,1,count,5,met,github-issue-64,packages/mdcp-core/test/shard-cache.test.ts,Verified by unit test readFileSync count during compileGuideResultsWithContext,2026-06-19
